Time	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11
62.53333333333333	1825	65185	94761	98996	85965	75754	72681	69381	64201	63378
62.589166666666664	1797	63906	95237	97074	85003	77865	73705	70946	63166	63508
62.645	1822	63304	93712	95877	87348	76482	75935	70815	63743	65808
62.700833333333335	1830	65554	92043	96199	86676	77346	72798	71278	63116	68989
62.75666666666667	1819	66161	94139	97306	84251	76444	74423	67839	61251	63026
62.8125	1815	64727	94657	96024	85533	77034	73140	70424	62509	69720
62.86833333333333	1823	64640	94351	99195	87722	74946	70955	70276	63677	75061
62.924166666666665	1842	62459	96143	102274	82824	75562	73823	70623	64623	68691
62.98	1832	60376	93310	97956	86126	77438	71863	70028	63206	65417
63.035833333333336	1860	63174	97186	96869	86486	76425	73467	70431	63930	72166
63.09166666666667	1806	60233	94793	97774	84076	76396	73321	69838	63293	70518
63.1475	1814	58949	94828	96878	85598	75839	72963	68444	62829	65430
63.20333333333333	1835	59663	93102	97608	86846	76422	72983	70958	62903	68655
63.259166666666665	1824	58594	93890	97570	86412	74504	73979	71878	62177	67703
63.315	1842	57462	95588	95763	86408	75951	76185	70963	61918	69177
63.37083333333333	1826	57557	95350	99371	85864	75926	74781	70879	62245	66069
63.42666666666667	1805	56221	94823	98260	85733	76499	74894	70018	62624	63815
63.4825	1820	58799	96857	98610	84567	76203	72784	71213	62150	67586
63.538333333333334	1822	55506	95143	97871	85110	75799	72562	69831	61797	65864
63.594166666666666	1798	57580	90788	96266	85622	76529	72598	70236	63991	63752
63.65	1823	59141	93565	98962	85584	76821	72289	69836	62506	68629
63.70583333333333	1840	58688	96172	97775	83223	76454	73092	70389	62269	71076
63.76166666666666	1827	60278	96899	98500	84431	76541	72203	69809	62465	70226
63.8175	1803	58138	96418	101158	87151	75850	73875	70561	63329	71748
63.873333333333335	1821	59331	94076	97401	85482	76225	72106	69938	62413	71747
63.92916666666667	1832	60140	95771	100197	84174	75782	71229	70250	63702	74848
63.985	1826	61673	96013	99545	84795	77271	72712	69706	62854	74454
64.04083333333334	1843	61094	94225	97658	84553	75016	72826	69297	62685	72965
64.09666666666666	1822	59625	92410	100295	85323	76834	72911	70962	64594	73787
