Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.533333	79199	46045	30728	21411	18134	15947	15068	14927	14705	14009	14102	93488	76020	45191	29705	22324	17766	16254	15492	14669	15435	14488	13927	105066	77332	46736	30609	21619	17886	16231	15024	15071	14849	14392	14526	99212	75283	45424	29463	21629	17035	17945	14255	14669	15079	14458	14648	89841	73419	44164	29476	21974	17990	16124	14828	15858	14716	14957	15247	98640	71665	44014	29162	20946	18172	15349	15385	14963	14950	14907	14827	80369
0.550000	79107	45354	30305	21355	18549	16238	14963	14561	14734	14105	14553	93450	77370	45743	28955	22011	17673	16326	15381	15043	15325	14728	14231	101504	75691	46645	30764	22092	17393	16277	15428	14836	14798	14342	14642	94521	74610	45316	29460	21397	17637	17793	14396	14476	14765	14453	15071	88150	73595	44358	29560	21865	18024	16060	15452	15816	15001	15435	14806	96059	71886	43996	28874	21037	17848	15538	15769	15088	14828	14881	15195	75350
0.566667	79158	45593	30881	21301	18298	15754	14915	14995	14556	14499	14206	91644	76366	45805	29470	22020	17867	16509	15533	14900	15065	14535	14238	103857	75315	46454	30618	21803	17595	16380	15300	15075	14780	14609	14466	94374	74638	45791	29391	21701	17381	17944	14202	14508	14496	14203	15065	88836	73242	44263	29473	21913	17801	15980	15307	15794	14875	15272	14779	96377	71975	44101	28648	21180	18517	15559	15644	15480	14725	14726	14972	79357
0.583333	78713	45484	30656	21420	18785	16040	14906	15257	14716	14120	14376	90224	75944	45908	29515	22252	17606	16513	15341	14517	14888	14394	14068	104137	76448	46940	30552	21734	18016	16073	15251	14333	14833	14443	14317	94280	74906	45622	29872	21763	17731	17627	14274	14637	14704	14406	14801	91719	73506	44917	29923	21688	18042	15750	15201	15665	15362	15264	14359	99062	71502	43475	29194	21342	17802	15345	15472	14953	14669	14998	15070	81142
0.600000	78549	45373	30111	20960	18112	16461	15130	14985	14806	13774	14163	91340	76401	45323	29708	21733	17639	16949	15528	14842	15346	14139	14332	107147	75820	46627	30928	21611	17657	15905	14934	14760	15127	14317	14870	95502	76258	44580	29554	21290	17170	17857	13908	14842	14784	14818	15042	90950	73333	44625	29969	22314	18171	16001	15092	15879	14959	15059	14669	96642	72468	44025	28950	21302	17992	15377	15594	15148	14465	14847	15024	71892
0.616667	79245	45964	30978	21552	18442	15653	14905	15262	14722	14254	14104	91966	76985	46065	29485	21712	17927	16394	15336	14733	15147	14839	13737	101193	75612	46860	30894	22013	17943	15816	15158	14832	14575	14197	14681	93909	75273	45291	29381	21286	17408	17816	14396	14585	14585	14561	14817	89492	73995	44699	29013	21496	18012	16105	15422	15791	14921	15054	14560	99136	72081	44247	29349	21702	17900	15288	15333	14857	14874	14850	14575	77055
0.633333	78937	45717	30599	21455	18341	16140	15097	14969	14817	13926	14240	91969	75720	45677	29763	22107	17490	15954	15241	14596	15105	14548	13983	106748	76560	46725	30900	21952	17864	15931	15257	15136	14854	14503	14629	95863	75086	44875	29207	21134	17438	17593	14170	14617	15090	14076	14840	88143	73541	44911	29133	21416	17578	16160	15409	15768	15102	15210	14871	95288	71927	44264	29524	20634	17750	15514	15349	15293	14859	14797	14664	77301
0.650000	78422	45731	30419	21552	18361	15756	14916	14950	14824	14194	13929	92769	76278	45732	29476	21719	17244	16425	15522	14796	14750	14488	13839	103729	76508	46165	30731	21751	17372	16159	15094	15036	14797	14746	14702	92469	74964	45126	29145	21524	17219	18039	14138	14663	14858	14186	15232	89362	73771	44659	30088	22128	17912	15694	15141	15838	14946	15333	14516	102813	72007	44035	28935	21062	17894	15750	15809	15582	15226	14687	14986	76708
0.666667	78412	45915	30518	20923	18354	16069	15242	15125	14781	13909	14066	94281	77339	45985	29419	21940	17195	16547	15549	14847	15095	14466	14113	103832	76509	46432	30586	21912	17663	16029	15307	14683	14218	14700	14420	96098	74711	44888	29684	21590	17978	18069	14211	14449	14507	14229	14802	89914	73151	44118	29836	21842	18059	15579	15035	15888	14961	15661	14579	93488	72972	44284	29511	20828	17922	15364	15275	15087	14939	14748	14984	77702
0.683333	78478	46278	30379	21260	18353	15850	15260	14785	14850	13845	14286	96458	76951	45888	29398	21884	17602	16718	15505	14656	15273	14576	14121	105171	76040	46695	30818	21803	17571	15956	15105	14930	15022	14878	14180	96858	75143	45207	29744	21405	17430	17890	14565	14695	14436	14219	15242	89813	74198	44844	29475	21695	17659	16182	15219	16013	15210	14864	14704	96318	72165	44073	28902	21297	18170	15455	15618	15064	14731	15150	14872	75014
0.700000	79521	45097	30642	21057	18420	16428	15207	15009	14843	14022	14444	92859	76042	45469	29338	21911	17773	16401	15699	14746	15147	14446	14053	102571	76175	46701	30507	21652	18069	16352	15138	15067	14552	14985	14687	93787	74825	44500	29736	20912	17471	17662	14275	14439	14517	14267	15425	88542	72851	44677	29839	21742	18370	15992	14891	16027	15031	15295	14508	92689	71736	44324	29219	21195	18043	15424	15748	15404	14684	14715	15057	76482
0.716667	78387	45393	30660	21533	18156	15810	14999	15013	14918	13965	14239	91340	77266	45524	29580	21975	17131	16368	15651	14708	15289	14592	13959	108683	76419	46753	30620	21799	17310	15912	15375	15064	14581	14401	14413	95749	75249	44727	29138	22007	17276	17671	14459	14734	14825	14380	14889	85165	73791	44913	29463	21378	18015	15713	15141	16269	15073	15449	14444	96579	71583	44379	28884	21295	18277	15552	15314	15158	14768	14579	14747	76126
0.733333	79190	45343	29998	20975	18015	15884	14870	14859	14823	14345	14287	93733	76596	45469	29414	21620	17372	16706	15550	14679	15294	14720	14025	107738	76163	45969	30752	21745	18038	16019	14939	14437	15071	14783	14625	94322	74876	45370	29578	20986	17534	17676	14396	14797	14687	14257	14795	88094	72382	45034	29574	21760	18045	15752	15321	15981	14497	15283	14801	93250	72028	44404	29101	21269	17984	15347	15287	14890	15267	14671	14944	75699
0.750000	78856	45825	30591	21537	18045	16292	14995	15126	14855	14130	14472	91883	77180	45467	29611	21738	17924	16235	15798	14665	15288	14301	14122	104485	75544	46272	30551	22113	17884	15973	14930	14394	14726	14408	14655	92466	75823	45061	29445	20769	17593	17743	14516	14243	14532	14659	15015	88551	74009	44875	29833	21882	17973	15768	15116	15630	14725	15272	14625	94271	72367	44685	28903	21042	17803	15396	15445	15015	14549	14852	14594	81310
0.766667	79400	45767	30769	21325	18530	16030	15251	14967	14848	14224	13913	92562	77145	46009	29513	22225	17619	16623	15547	14664	15004	14391	14246	108930	76540	46199	30783	22144	17891	15762	15154	14664	14574	15130	14447	98627	75003	44677	28826	21210	17603	17808	14458	14491	14777	14232	15193	87316	73098	44895	29818	21535	17793	15960	15176	15818	14867	15324	14907	94961	72170	44377	29367	21199	18206	15104	15507	15118	14850	14812	14920	77693
0.783333	79016	46623	30591	20955	18042	16194	15153	15211	15117	14210	14104	92415	76027	46079	29613	21801	17874	16560	15492	14463	15310	14534	14138	105255	75585	46632	31046	21860	17520	16043	14798	14916	14419	14707	14617	94801	74549	45489	29213	21185	17523	17800	14159	15082	14517	14458	14811	90401	74032	44121	28871	21390	18433	16011	15086	15781	14906	15269	14581	97894	72353	44619	28736	20659	17886	15444	15574	15225	14869	14813	14872	76877
