Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.433333	8840	8870	9702	8573	8964	9325	11416	11980	12063	13806	15761	14854	14461	14823	13588	11802	11693	13309	13062	13276	11048	14440	13766	14778	16379	17552	15566	21160	29493	22700	12840	12880	12888	13284	12812	14648	20449	15231	15732	14032	14540	14606	18907	21422	27451	13605	15036	15265	12677	12669	12388	13531	13514	13464	15624	16248	17397	30060	33476	31360	35531	35001	38902
0.450000	8952	8990	9884	8847	9236	9521	12017	12375	12729	14325	16494	15192	15124	15964	14533	12131	11968	13852	13245	13604	11444	14975	14248	15484	17548	18728	16316	24452	31216	26263	13297	12941	13123	13803	13205	15055	20829	16389	16696	14672	15206	15810	21226	24607	30529	13928	15181	15302	13191	13696	12708	13971	14000	14288	16416	17168	18203	31238	32931	31252	34982	35624	38093
0.466667	9257	9151	9935	9021	9618	9538	12293	12780	12852	15152	16902	15657	16013	16772	15352	12656	12232	14818	13917	13929	11804	15450	14690	16104	18665	20529	17572	27606	32335	29680	13766	13444	13528	14484	13644	15812	21338	17226	17784	15349	16116	16533	23886	28140	32709	14668	15921	15745	13988	14944	13318	14725	14840	14921	17156	18164	18929	32198	32890	31142	34544	35788	37945
0.483333	9456	9262	10187	9226	9904	9943	12535	12964	13317	15463	17653	16521	16467	17780	16714	13406	12721	15496	14341	14216	12105	16050	15448	16824	20105	21252	18654	30247	32813	31396	13830	13395	14006	14836	14103	16387	21776	18457	19101	15862	16539	17868	26797	29931	32898	14946	16436	16152	15289	15490	13660	15340	15620	15429	18435	18388	19800	32076	32931	30742	34671	36452	37501
0.500000	9438	9614	10567	9546	10138	10650	13324	13332	13966	15977	18113	16892	17408	18986	17919	13924	13092	16286	15428	14955	12480	16946	16292	17393	21748	22880	20006	31653	32416	32149	14378	14333	14232	15452	14771	16965	22348	19476	20072	17084	17544	18804	28924	31370	33572	15545	16710	16781	16184	16328	14368	16123	16700	16401	19532	19661	20888	31824	32842	30572	34213	36840	36954
0.516667	9563	9868	10810	9819	10468	10543	13560	13992	14210	16516	18846	17620	18008	19848	18816	14828	13390	16724	16209	15576	12535	17596	17065	18063	23048	24043	21395	32393	32724	33210	14850	14588	14933	15836	15422	17842	22696	20635	21668	17808	18464	20665	30305	32380	33264	15698	17560	17316	17112	17146	15688	16870	18025	17250	20910	20960	21964	32175	32686	30541	34348	36540	37320
0.533333	9978	9668	10928	9988	10681	10796	14108	14472	14788	17372	19706	18111	19172	20544	19650	15743	13800	17872	17220	15716	13232	18199	17749	18942	24198	25138	22739	32314	32103	33010	15280	15079	15379	16500	15836	18140	23126	21421	22598	18907	19590	21508	31308	32648	32949	15851	17855	17703	18076	17770	16550	17654	19073	18396	22455	21926	22991	32307	32811	30469	33592	36550	36715
0.550000	9879	9906	11418	9999	10997	11313	14601	14963	15437	17806	20232	18916	20459	21680	20429	16280	14294	18476	18266	16973	13431	19168	18436	19934	25889	26182	24194	32920	32262	32888	15829	15540	15523	17073	16262	19104	23428	23036	23301	19970	20776	23008	31233	32535	33534	16697	18325	17854	18724	18787	17607	19156	20074	19569	23688	23772	23879	32265	32763	30376	33941	36213	36080
0.566667	10116	10273	11546	10171	11252	11245	14946	15453	15864	18711	21048	19824	21441	22733	21408	16941	14926	19058	19461	17276	14125	19927	19353	20807	27190	27688	25866	32352	31993	32805	16807	15970	15973	17460	16948	19435	22913	24491	24566	21362	22100	24318	31432	32948	32545	16859	18994	19085	19170	19380	18749	20295	21465	20560	25321	25051	25005	31804	32440	30524	33037	35667	36655
0.583333	10427	10451	11438	10627	11395	11803	15840	15751	16130	19389	21964	20233	22326	23533	22348	17575	16092	19859	20276	18396	14565	21004	20147	21360	28360	28728	26836	32355	31529	32744	17967	16604	16629	18441	17939	20255	23554	25387	25756	22422	23335	25816	31723	32468	32883	17484	19823	19508	20081	20324	19424	21803	22240	21648	26250	26284	26319	32126	32298	30010	32913	35181	36404
