Time	B02	B04	B06	C02	C04	C06
1.686667	1351	439	3824	1334	497	3444
1.693056	1344	445	3851	1350	494	3472
1.699444	1340	441	3915	1349	490	3476
1.705833	1329	430	3913	1354	493	3475
1.712222	1345	435	3948	1341	500	3495
1.718611	1348	438	3966	1355	499	3501
1.725000	1349	433	3980	1355	498	3523
1.731389	1356	437	4021	1357	488	3541
1.737778	1356	437	4047	1361	489	3581
1.744167	1358	441	4065	1359	488	3604
1.750556	1370	442	4080	1368	489	3603
1.756944	1370	441	4148	1375	497	3630
1.763333	1376	441	4145	1366	486	3636
1.769722	1383	429	4203	1382	498	3622
1.776111	1363	443	4258	1373	493	3666
1.782500	1384	441	4249	1378	499	3687
1.788889	1380	443	4298	1389	491	3720
1.795278	1385	439	4336	1385	493	3721
1.801667	1377	442	4381	1386	493	3745
1.808056	1388	437	4400	1389	492	3762
1.814444	1404	437	4457	1399	489	3785
1.820833	1381	440	4457	1407	480	3821
1.827222	1410	446	4517	1415	498	3820
1.833611	1400	435	4565	1400	494	3848
1.840000	1402	435	4598	1405	498	3870
1.846389	1413	438	4611	1396	500	3879
1.852778	1395	436	4658	1422	502	3901
1.859167	1402	437	4658	1403	493	3913
1.865556	1419	435	4723	1418	483	3938
1.871944	1432	440	4744	1419	492	3940
1.878333	1416	446	4782	1429	500	3973
1.884722	1423	437	4821	1409	502	4005
1.891111	1435	437	4828	1418	501	3995
1.897500	1422	438	4910	1426	493	4032
1.903889	1421	437	4937	1431	487	4026
1.910278	1424	441	4974	1440	498	4067
1.916667	1434	430	4986	1428	486	4097
1.923056	1440	441	5047	1450	480	4099
1.929444	1442	440	5066	1437	487	4139
1.935833	1424	438	5123	1439	491	4158
1.942222	1438	432	5136	1446	503	4164
1.948611	1445	436	5188	1444	491	4186
1.955000	1455	436	5210	1454	496	4204
1.961389	1443	445	5275	1465	494	4220
1.967778	1457	433	5309	1456	491	4257
1.974167	1460	441	5345	1462	491	4285
1.980556	1454	428	5396	1475	485	4310
1.986944	1469	442	5411	1466	490	4345
1.993333	1459	445	5418	1461	491	4368
1.999722	1461	438	5517	1468	487	4375
2.006111	1464	441	5547	1490	495	4406
2.012500	1472	443	5592	1485	497	4393
2.018889	1475	439	5619	1478	492	4448
2.025278	1479	438	5662	1487	492	4461
2.031667	1484	446	5673	1497	491	4507
2.038056	1470	443	5733	1493	496	4508
2.044444	1470	434	5789	1507	497	4522
2.050833	1485	440	5834	1491	487	4577
2.057222	1510	442	5863	1506	480	4557
2.063611	1505	436	5885	1495	496	4554
2.070000	1494	435	5965	1506	486	4599
2.076389	1488	431	5987	1520	491	4612
2.082778	1507	445	6034	1517	491	4679
2.089167	1496	443	6069	1519	491	4682
2.095556	1510	433	6099	1533	490	4717
2.101944	1502	433	6131	1529	494	4706
2.108333	1517	437	6147	1515	488	4734
2.114722	1522	445	6229	1511	496	4754
2.121111	1518	438	6256	1506	484	4802
2.127500	1516	434	6331	1538	497	4833
2.133889	1522	438	6337	1513	490	4835
2.140278	1525	434	6362	1542	496	4869
2.146667	1525	445	6411	1545	482	4863
2.153056	1519	434	6482	1535	491	4878
2.159444	1533	444	6494	1523	491	4929
2.165833	1539	434	6541	1546	488	4936
2.172222	1537	439	6628	1545	488	4954
2.178611	1540	437	6624	1547	490	4977
2.185000	1534	439	6706	1546	491	5008
2.191389	1544	439	6699	1547	494	5042
2.197778	1543	443	6761	1571	497	5056
2.204167	1542	447	6807	1575	488	5075
2.210556	1560	429	6814	1573	494	5134
2.216944	1555	438	6906	1557	491	5119
2.223333	1569	442	6924	1560	501	5177
2.229722	1561	435	6964	1563	493	5191
2.236111	1572	441	6997	1569	489	5172
2.242500	1569	439	7001	1562	481	5221
2.248889	1567	433	7069	1572	484	5283
2.255278	1575	441	7111	1571	493	5280
2.261667	1573	436	7173	1578	499	5297
2.268056	1588	432	7173	1584	488	5333
2.274444	1589	433	7215	1585	487	5356
2.280833	1578	440	7295	1577	495	5407
2.287222	1569	433	7326	1581	493	5395
2.293611	1587	436	7377	1585	497	5446
2.300000	1598	438	7413	1597	496	5450
2.306389	1574	440	7458	1580	493	5499
2.312778	1594	434	7500	1601	481	5497
2.319167	1595	442	7523	1593	490	5549
2.325556	1595	440	7592	1602	488	5572
2.331944	1594	435	7642	1615	494	5605
2.338333	1612	437	7661	1617	504	5609
2.344722	1604	445	7698	1608	488	5656
2.351111	1592	438	7770	1611	492	5657
