Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
2.222222	30688	33999	34176	38088	35708	42042	27003	29374	29136	35483	34235	30906	10518	11139	15827	15366	18640	15099	8820	9715	10163	11576	14906	9432	7855	8796	8642	8578	8850	8902	7613	7947	7553	7979	7741	8030	7326	7549	7710	7609	7609	7559	6822	7185	7239	7512	7076	7087	7080	7172	7234	7009	7082	7060	7181	7230	7073	7184	7351	7180
2.277778	31242	36047	34899	39276	35732	43144	28355	30292	29995	35679	34720	32720	10720	11431	17584	16740	19657	16760	8930	9769	10805	12032	15220	9373	7911	8896	8553	8679	8918	9102	7559	7946	7580	7952	7723	7955	7289	7411	7607	7631	7549	7516	6845	7081	7150	7443	6966	7125	6979	7185	7186	7014	6942	7103	7236	7258	7001	7100	7232	7163
2.333333	32012	36007	34848	39141	35813	42667	29712	30498	30576	35992	35186	33063	10765	11613	18872	18847	19867	18686	9037	9815	11175	12707	15853	9456	7957	8988	8598	8470	8759	9105	7638	8008	7513	7864	7764	7953	7288	7499	7630	7463	7564	7398	6931	7038	7108	7458	7045	7045	6895	7278	7000	7007	6981	7102	7119	7096	6924	7193	7244	7163
2.388889	31978	35686	34772	39358	36515	43082	30586	30724	30915	35821	35393	33119	10652	12262	20689	20585	20860	20669	8971	9847	11939	13582	16777	9533	7974	8947	8719	8636	8818	9086	7515	7915	7541	7906	7790	7939	7307	7537	7553	7579	7538	7446	6871	7117	7061	7481	7046	7050	7002	7177	7222	6979	7035	7042	7093	7176	7046	7084	7337	7137
2.444444	31876	36519	34798	39521	36338	43402	30669	31347	31273	35760	36070	34692	10801	12785	22051	22169	21187	22258	9131	9962	13119	14608	18262	9657	8016	8944	8640	8591	8706	9082	7609	7905	7508	7796	7790	7966	7273	7477	7667	7618	7536	7423	6816	7039	7100	7469	7022	7130	6928	7152	7129	6974	6960	6934	7149	7280	6985	7167	7292	7136
2.500000	32732	36762	35177	39223	36116	43680	32044	31689	31274	35958	36412	34644	10777	14227	23858	23486	21751	23194	9042	10314	14147	15706	19446	9828	7919	8815	8687	8510	8761	9087	7526	7874	7532	7875	7691	7886	7241	7490	7565	7587	7552	7531	6856	7093	7124	7500	6995	7043	7035	7174	7202	6934	6963	6980	7134	7201	7041	7097	7285	7186
2.555556	32240	36950	35192	39913	36694	43662	32615	31390	31770	35932	36754	35664	10834	15425	24999	24308	21684	23707	9308	10641	15300	16455	20719	9864	7950	8822	8813	8667	8787	9155	7557	7949	7507	7866	7652	7969	7219	7538	7598	7546	7616	7468	6873	7018	7075	7430	6909	7073	6995	7268	7116	6883	7030	6890	6951	7174	7012	7031	7201	7065
2.611111	32928	36901	35718	40005	36843	43145	33025	31884	32515	36214	36215	35332	10860	16855	25793	25096	22652	24762	9560	10961	16452	17525	21928	10034	7922	8884	8792	8655	8893	9152	7480	7876	7500	7858	7650	7929	7272	7507	7628	7605	7554	7423	6788	7131	7123	7460	6910	7085	6900	7062	7104	7016	6898	6876	7129	7132	6948	7145	7305	7202
2.666667	33044	37093	35954	39590	36626	43406	32640	32007	32469	36301	36091	35938	11012	18206	26615	25815	22796	24606	9724	11453	17943	18219	22498	10117	7943	8880	8814	8597	8954	9231	7489	7863	7505	7895	7763	8018	7213	7367	7589	7557	7423	7430	6818	7103	7145	7455	6941	7069	6961	7063	7178	7006	6928	7052	7069	7184	6956	7046	7278	7098
2.722222	33439	37745	36304	40444	36878	44150	33370	32074	32515	36037	36945	36061	11129	19812	26759	26753	22672	25506	9910	12087	18895	18744	23105	10465	7858	8925	8819	8656	8916	9336	7504	7858	7491	7842	7684	7842	7240	7443	7679	7578	7633	7400	6738	7067	7108	7423	6982	7061	6927	7129	7112	6965	6904	6937	6996	7144	6986	7086	7297	7106
2.777778	33255	37656	36284	40802	36212	43435	33127	31860	32677	36493	37271	36182	11250	21323	26808	26522	23264	26000	10279	13052	19613	19341	23556	10707	7968	8999	8794	8731	8953	9563	7530	7861	7490	7907	7642	7911	7261	7487	7738	7527	7483	7417	6886	7067	7064	7482	6964	7067	6948	7058	7077	7010	6946	6912	7244	6989	6972	7106	7230	7062
2.833333	33104	37732	35896	40779	36931	43024	33249	32488	32980	36313	37435	36471	11554	22370	27586	26982	23667	26267	10616	13953	20098	19625	23910	11242	7903	8902	8902	8671	8958	9766	7528	7916	7461	7951	7678	7977	7147	7554	7666	7770	7424	7430	6818	7112	7156	7443	6839	7136	6971	7101	7196	6864	6890	6962	7137	7104	6999	6968	7237	7119
2.888889	33117	37805	36339	40829	36664	43877	33586	32255	33211	36551	37637	36384	11972	23300	27902	27324	23845	26967	11035	15067	20698	20061	24317	11798	7981	9158	8922	8790	9047	9993	7529	7807	7493	7889	7627	7907	7219	7521	7580	7617	7488	7449	6866	7087	7104	7510	6859	7123	6868	7230	7065	6864	6946	7092	6980	7123	6927	7032	7240	7088
2.944444	32568	37839	36696	40979	37034	43689	33330	32504	33475	36436	37386	36390	12389	23833	27910	27931	23864	27015	11647	16409	21151	20159	24751	12437	7887	9061	9041	8864	9025	10392	7461	7814	7533	7766	7755	7916	7191	7440	7678	7651	7474	7343	6708	7010	7106	7415	6889	7128	6817	7168	7156	6923	6943	6889	7162	7036	7009	6962	7231	7167
3.000000	33528	37798	36646	40527	37420	43598	33756	32408	33169	36839	37533	36794	13055	24222	28478	28017	23758	27731	12223	17373	21354	20359	24866	13179	7910	9189	8976	8813	9052	10873	7578	7842	7428	7827	7642	7966	7145	7454	7780	7642	7487	7344	6789	6987	7100	7475	6907	6996	6998	7052	7065	6971	6868	6957	7221	7186	6893	7022	7156	7162
3.055556	33058	37814	36957	40097	36726	43874	33647	32152	33456	36740	37452	36926	13939	24424	28795	28879	23848	27176	13066	18076	21767	20353	25001	14056	7994	9172	9045	8916	9183	11424	7570	7858	7456	7899	7660	8044	7124	7493	7558	7652	7470	7482	6733	7069	7007	7497	6895	7178	6932	7097	7093	6980	6823	6945	7071	7027	6973	7037	7193	7071
3.111111	33327	38062	36975	40634	37010	43776	33965	32795	33754	36795	37922	37107	14974	25090	28517	28690	23934	27574	14132	18892	21744	20617	25245	14656	7913	9212	9237	8974	9299	12062	7503	7870	7425	7968	7663	7974	7195	7442	7627	7598	7596	7390	6697	7061	7078	7450	6842	7130	7004	7053	7162	6991	6980	6995	7079	6960	7013	7023	7302	7114
3.166667	33012	37772	36556	41548	37000	43753	34279	32728	33798	37020	37825	36895	16156	25183	29123	28753	24162	27825	15250	19319	21966	20704	25435	15305	7907	9352	9279	8941	9487	12870	7592	7775	7562	7952	7633	7946	7151	7457	7676	7665	7534	7400	6808	7004	7096	7416	6943	7066	6955	7036	7211	6874	6970	6933	7036	6997	7010	6998	7218	7155
3.222222	33679	37720	36989	40945	36902	44006	34349	32887	33857	36994	37128	37044	17692	26296	29213	29232	24176	27689	16274	19694	21894	20722	25594	15583	7931	9418	9347	9030	9588	13673	7537	7811	7539	7867	7631	7970	7174	7449	7668	7611	7557	7438	6778	6949	7169	7396	6934	7097	6979	7132	7126	7049	6912	6898	7144	7052	6965	7066	7204	7095
3.277778	33252	37897	37041	41402	37065	43631	34571	32460	33946	36993	38046	36952	19033	26516	29101	29405	24018	27618	16998	20101	22115	21010	25503	15950	7854	9489	9552	9078	9785	14662	7486	7813	7452	7918	7602	7905	7170	7429	7712	7678	7573	7394	6898	7040	7030	7437	6906	7038	6969	7193	7070	7065	6896	6956	7041	7084	7030	7007	7199	7032
3.333333	33295	37549	36891	41145	37396	44215	34752	32861	33603	36965	37438	36997	20045	27176	29425	29355	24266	28030	17712	20175	22372	20828	25868	16203	7960	9625	9874	9150	10036	15093	7518	7816	7639	7955	7670	7943	7215	7377	7739	7708	7599	7501	6727	7095	7023	7369	6872	7124	7025	7178	7223	6924	6899	6989	7066	6998	6999	7116	7277	7062
3.388889	34073	38014	36699	40946	37262	43797	34490	32885	33921	36834	37655	37383	20589	27073	29653	29491	24025	28427	18416	20325	22198	21163	25830	16431	7925	9767	10135	9243	10487	15618	7524	7839	7418	8009	7722	7943	7123	7481	7696	7673	7545	7353	6753	7085	7050	7434	6864	7029	7011	7042	7089	7061	6857	6959	7028	7062	7012	7004	7210	7238
3.444444	33714	38088	36926	40786	37308	43962	35033	32765	33735	37117	37218	37529	21595	27290	29842	29944	24542	28051	19100	20609	22478	21105	25933	16566	7933	9831	10404	9447	10813	15935	7492	7833	7487	8129	7620	8000	7127	7380	7679	7645	7550	7429	6739	7006	7069	7399	6982	7025	6868	7095	7194	7090	6907	6958	7086	7149	6947	6955	7323	7204
3.500000	33704	38125	37051	41057	37463	44481	34853	32693	34246	37077	37537	37343	22072	27349	30439	30170	24471	28372	19187	20649	22730	21172	26025	16820	7943	9987	11010	9502	11337	16063	7614	7727	7433	8252	7689	7878	7081	7436	7641	7793	7520	7328	6727	7009	7076	7408	6935	7158	6968	7122	7038	6994	7005	6845	7064	7043	7013	7029	7345	7052
3.555556	33432	37729	37150	41437	37393	44422	34887	32946	34053	36920	37495	37133	22585	27067	30198	30018	24686	28384	19448	20765	22638	21511	26251	17050	7944	10255	11536	9866	11886	16363	7502	7778	7450	8211	7590	7895	7121	7386	7662	7658	7496	7343	6785	7000	7055	7485	6913	7130	6927	7139	7095	7005	6868	6966	7063	7181	6881	6974	7269	7123
3.611111	33556	37914	36599	40854	36814	44805	35074	33135	34184	36803	37836	37240	22789	27650	30198	30314	24671	28675	20017	20850	22892	21386	26008	17122	7951	10571	12070	10278	12508	16366	7532	7844	7467	8339	7632	7963	7097	7340	7630	7746	7506	7363	6800	7123	7133	7406	6836	7153	6926	7109	7178	6972	6897	6950	7087	7044	6970	6993	7189	7163
3.666667	33541	37921	36914	41472	37658	44589	35054	33238	34363	37321	38081	37645	22941	27680	30510	30421	24424	28905	19819	20977	23136	21656	25941	17055	7975	10842	12751	10614	13120	16693	7526	7828	7410	8354	7645	8028	7180	7502	7753	7779	7464	7391	6725	7033	7097	7388	6826	7171	6923	7180	7029	7045	7001	6980	7024	7062	7103	7075	7124	7109
3.722222	33658	38077	37077	41351	37571	44517	35185	33447	34170	37149	38118	37968	23273	28117	30599	29940	24567	28796	20191	21178	23423	21614	26149	17068	7895	11333	13034	11013	13887	16886	7488	7839	7438	8539	7613	7903	7121	7388	7658	7788	7598	7401	6747	6975	7012	7438	6892	7054	6990	7225	7071	7029	6953	6973	7044	7205	7061	7063	7261	7102
3.777778	33772	38109	36781	41855	37616	45011	35026	32914	34394	37484	38853	37464	23444	27543	30552	30418	24645	28711	20223	21344	23279	21445	26510	17329	8002	11756	13641	11599	14424	16838	7554	7821	7525	8588	7632	8062	7149	7399	7764	7749	7502	7380	6764	7004	7055	7515	6972	7053	6953	7062	7168	7022	6989	7020	7118	7162	7072	6971	7220	7254
3.833333	33930	38080	37623	41652	37771	44921	35100	33079	34363	37687	38295	37869	23501	27864	30478	30524	24902	28744	20173	21318	22913	21432	26374	17293	8151	12516	14100	12181	15182	16726	7597	7784	7452	8710	7691	7989	7092	7336	7643	7785	7644	7425	6847	6983	7150	7361	6920	7061	6908	7133	7096	6991	6992	6956	7064	7125	7051	6929	7276	7071
3.888889	33670	37945	37233	41403	37910	44949	35161	33184	34423	37789	38370	37838	23866	28243	30914	30582	24894	29025	20343	21354	23049	21666	26447	17467	8005	13108	14585	12572	15649	16899	7593	7820	7535	8964	7625	8072	7094	7378	7621	7855	7676	7396	6742	7057	7047	7482	6819	7131	7011	7212	7137	6947	6937	6889	7103	7096	7006	7046	7201	7151
3.944444	33974	38296	37133	41728	37639	44584	35216	33310	34472	37833	38310	38000	23720	28165	31158	30360	24795	29181	20224	21406	23144	21482	26624	17457	8069	13596	14707	13151	15719	17066	7595	7730	7368	9105	7744	8047	7157	7450	7757	7843	7610	7420	6737	6944	7074	7505	6841	7160	6795	7116	7052	7068	6900	6935	7097	7211	7086	6964	7231	7174
