Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	C02	C03	C04	C05	C06	C07	C08	C09	C10	D02	D03	D04	D05	D06	D07	D08	D09	D10	E02	E03	E04	E05	E06	E07	E08	E09	E10	F02	F03	F04	F05	F06	F07	F08	F09	F10	G02	G03	G04	G05	G06	G07	G08	G09	G10
0.728333	66589	72346	72617	74403	77286	75412	75432	73658	74800	67931	71272	74999	75305	79226	81332	77148	77085	80046	66014	71530	76268	33503	33296	33549	35307	34708	35768	32262	33286	32962	33074	32408	33666	34943	35801	34968	35531	34545	34084	75127	75686	77402	37052	36909	35685	37017	36889	36684	69165	72547	70888	69472	68275	68237
0.741111	66740	72333	72547	74626	77144	73772	73976	74265	75855	67308	71492	73725	76246	78415	82420	77812	77487	79576	65969	71506	75900	33284	33196	33580	35357	35026	35853	33262	33281	32863	34228	32932	33849	34765	36151	35401	35678	34308	34748	75029	75225	76911	37428	37194	35499	37450	36923	36749	69349	74001	70508	68063	66675	68561
0.753889	66957	71981	71954	74814	77215	74457	74750	73815	74357	67448	70826	74803	76071	78199	82645	77977	77652	80346	66297	71946	75843	32467	33835	34026	35217	35008	35617	32559	33098	32774	33909	32527	33069	34900	35093	35771	36074	35233	35119	77002	75931	76360	36862	37031	35624	37639	36651	37174	69448	73184	70613	70473	67343	68167
0.766667	66764	72411	71854	74416	75819	74449	74086	73559	75437	66444	70284	74552	75165	78380	82066	76997	77354	81029	65549	71278	77606	33371	33755	33607	34744	34698	36073	33335	33214	32689	33514	32750	33000	34555	36148	34988	36259	34252	34721	74757	76034	78644	36821	36597	35741	38165	37540	37332	70046	73831	70536	68726	67688	67773
0.779444	66998	72141	71035	74910	77267	75016	74731	73586	73830	66293	71231	73476	75340	79076	82685	78075	77556	80922	66975	72658	76848	33240	33244	33358	35431	34762	35572	32562	33667	33611	33568	32607	33336	34699	35682	36006	35992	34909	34840	76449	75329	77432	37327	36687	35565	37418	37042	36483	69533	72872	70000	69737	67364	69038
0.792222	67622	72661	71798	74073	76755	73821	74495	73881	75091	66817	70503	73289	76474	77992	81494	78321	78842	79972	66878	72583	77088	33070	32734	33408	35256	34680	35630	33157	33379	33217	33767	32374	32508	35240	35850	35704	35517	34447	34657	76028	75711	78401	37605	37344	35473	37926	37139	36889	69674	73841	70326	70220	68543	68304
0.805000	67449	73154	72865	73939	76000	74843	74956	73527	74675	67257	70555	75151	74675	78862	81558	78227	78155	80729	68367	71904	76593	32852	33933	33255	35140	34778	36229	33038	33329	33134	33596	32710	32952	34664	36353	35914	35715	34717	35059	75658	76633	77801	36587	36669	36548	37239	37399	36696	70129	73062	71302	69691	68130	68584
0.817778	67425	72250	72417	74373	77005	74416	74365	73726	74892	67151	70204	73341	75474	78120	81361	77624	77655	80651	67916	73697	77024	33496	33551	33446	34774	35223	36038	33562	33895	33547	33815	32786	33665	36102	36093	35330	36105	35235	35323	76622	75859	77469	37384	36993	35764	37260	36406	37298	69992	72992	70870	69764	68242	68438
0.830556	67705	72625	72628	73681	77094	75661	74307	73245	73619	67159	70522	74420	76425	78627	82082	78232	78264	80860	67376	72994	77150	33789	33070	34387	35263	35479	36800	33102	33488	32681	33297	33388	32711	35417	35556	35722	35641	34868	35042	75914	76300	77160	37702	37495	35449	37686	36620	36315	71560	73251	70544	69814	68683	68825
0.843333	67823	72383	71871	74097	75712	73102	73683	73715	74503	67631	70406	73644	75384	78998	82306	78762	78102	81193	67559	73181	76849	33703	33296	34519	34977	35822	36383	32424	33296	33646	33646	32614	33458	35261	36370	35622	35544	34666	34668	75053	76294	78402	37122	37387	36119	37619	37139	37238	70556	74262	71240	70365	68316	68375
