Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.488889	13112	12211	12163	11732	12038	12354	11730	11922	11852	12214	12028	12034	12900	12280	12714	12053	12371	11820	12137	12029	12336	11878	11855	12251	21501	12975	12042	11693	14204	13425	12801	12400	12193	12062	13484	11900	12949	12680	13050	12368	12323	12199	11607	11965	12208	12124	12031	11937	13127	12310	12389	12467	12178	11723	12054	12475	11667	11916	12524	12261	14204	13521	11835	11639	11921	11783	11953	11814	11738	12181	12104	11960	13536	12533	11935	12078	11947	12304	12360	12218	12151	11955	12076	14175	14135	12400	11785	12330	12109	12300	12496	12450	13101	12693	13006	14294
0.511111	12961	12199	12237	11943	11836	12538	11933	12062	11672	11844	11798	12020	13056	12391	12402	11990	12253	11950	12080	11773	12023	11981	11597	12120	21584	12748	11975	11960	14177	13491	12606	12058	12118	12292	13773	11933	12870	12807	12761	12650	12547	12107	11591	12255	11946	11982	11843	11980	12992	12674	12104	12529	11907	11631	12237	12800	11777	11850	12508	11979	14339	13641	11910	11723	11777	12036	12025	11814	12090	11948	11872	12167	13507	12466	12005	12149	12231	12064	12348	12092	12319	11929	11902	15146	13883	12725	11613	13771	12876	12313	13305	12961	13493	12887	13583	15582
0.533333	12993	12318	12093	11926	12038	12363	11652	11892	12203	11944	11882	12225	13220	12273	12340	12073	12065	12253	12301	11999	12365	12022	11782	12453	21527	12700	12334	11785	14427	13646	13005	12110	12079	12274	13753	11682	13305	12868	12667	12206	12404	12004	11519	12111	12083	12170	11874	11996	13257	12474	12436	12615	12035	11684	11949	12562	11581	11774	12578	12725	14248	13448	11908	11715	11956	12028	11926	11463	12128	12102	12106	12533	13459	12446	12210	12159	12219	12534	12389	12397	12095	11928	12183	15698	14082	12440	11865	13379	12962	12701	13717	13638	14096	13453	14454	16842
0.555556	13179	12303	12302	11755	11904	12382	11904	11796	11779	12240	12001	12105	13194	12447	12541	12021	12281	12016	12275	11987	12257	12255	11602	12178	21494	12821	12060	12218	14262	13666	12872	12381	12197	12230	13924	12044	13113	12902	12915	12786	12434	11990	11722	12029	11948	12291	11968	12224	13384	12844	12285	12350	11912	11842	12088	12707	11778	11907	12148	13248	14590	13591	11972	11805	12027	11929	11761	11935	12114	12261	12004	12605	13642	12787	11727	12284	12079	12277	12633	12527	12454	12102	11929	17123	14276	12534	11724	13526	13840	13117	14354	14308	15220	14645	15414	18416
0.577778	13416	12084	12067	11742	12052	12481	11660	11774	11958	11980	11951	12099	13348	12625	12483	12135	12719	12482	12443	12041	12345	11987	11611	12261	20971	13029	12469	12119	14651	13706	13056	12249	12160	12317	13819	12318	12887	12767	12879	12587	12449	12240	11682	12169	12196	12116	11978	12568	12926	12735	12698	12466	12360	11951	11833	12496	11897	11775	12614	13833	14163	13622	11793	11637	11757	11999	11996	11747	11869	12018	12182	13233	13644	12670	12330	12286	12428	12814	12686	12820	12770	12137	12042	18435	13977	12372	12168	14698	14248	13781	15208	14948	15766	15397	16393	20138
0.600000	13379	12547	12267	12108	11919	12320	12066	11795	12041	12291	11916	12197	12871	12563	12361	12230	12334	12419	12416	12115	12580	11695	11682	12506	21237	13000	12336	12187	14187	13730	12774	12027	12318	11858	14053	11998	13001	12674	12928	12653	12661	12218	11830	12218	12057	12154	12235	12702	13231	12692	12900	12800	12250	12112	11957	12473	11554	11846	12367	14210	14058	13584	11857	11697	12040	12161	12179	11905	11734	12257	12096	13415	13622	12521	12178	12929	12184	12969	12861	13101	12824	12318	11957	20199	14205	12648	12482	15343	14588	14608	16129	15901	16544	16922	17619	21970
0.622222	13287	12496	12069	11909	11971	12518	11963	11832	12170	12490	11930	12029	13207	12396	12287	12386	12481	12232	12480	12000	12212	12218	11860	12356	21182	12665	12099	12040	14733	13465	13063	12332	12031	12038	14241	12096	13087	12876	12942	12395	12610	12316	11863	12045	12097	12283	12277	13284	12971	12704	12682	12753	12171	11821	11838	12559	11871	12282	12757	14931	14467	13624	11979	11620	12022	11985	11970	11837	12088	12284	12258	14584	13475	12567	12128	13019	12994	13263	13261	13425	13066	12708	12315	21408	14145	12530	12840	16426	15923	15409	17529	16908	17947	18421	19239	23061
0.644444	13373	12579	12168	11890	12073	12471	11681	11916	12032	12196	12112	12268	13047	12286	12475	12298	12636	12464	12444	12093	12336	12140	11779	12376	21261	12965	12314	12161	14465	13773	12849	11879	12469	12233	14225	12568	12972	12798	13076	12666	12420	12179	11688	12511	12407	12624	12005	13942	12993	12727	12116	12756	12381	12001	12108	12413	12027	12345	13226	16571	14492	13618	12103	11729	12148	12266	12123	11594	12154	12349	12104	15546	13815	12667	12353	13148	13096	13956	13679	13856	13583	13093	12357	23431	14242	12159	13310	17655	16773	16570	19165	18317	19644	20441	20919	24776
0.666667	13169	12274	12359	12069	11854	12429	11905	12025	12163	12577	12154	12061	13248	12412	12469	12414	12686	12470	12328	12432	12807	12021	11777	12327	21145	13094	12443	12118	14635	13714	12776	12102	12463	12114	14402	12906	13055	12907	12856	12715	12559	12181	11890	12528	12475	12968	12086	14829	13467	12645	12450	12891	12309	11681	11802	12792	12212	12118	13316	17647	14256	13658	12197	11662	12100	12257	11870	11841	12246	12319	12438	16436	13318	12411	12477	13817	13344	14276	14091	14486	14143	13324	12488	24725	14240	12405	13720	19457	18751	17976	21026	19662	20820	21905	22423	25608
0.688889	13486	12449	12282	12035	11677	12651	11895	11754	12584	12543	12403	12142	13048	12551	12289	12121	12700	12243	12444	12281	12461	12460	11762	12137	21267	12939	12266	12192	14769	13673	12978	12260	12255	12373	14657	13452	13009	12984	13081	12778	12650	12108	11972	12594	12529	13243	12213	15873	13350	12770	12620	12702	12416	11946	11922	12789	12480	12447	13598	19794	14229	13544	12219	11592	12153	12155	12050	11997	12624	12577	12227	18113	13645	12414	12597	14125	13978	15010	14895	15628	15129	14290	12878	25750	14267	12577	14516	20604	19978	19322	23586	21617	22983	22949	24246	26901
0.711111	13393	12688	12350	12237	11924	12833	12093	11890	12124	13019	12791	12379	13401	12522	12274	12137	12543	12243	12383	12363	12856	12529	12000	12591	21064	13161	12099	12337	14765	13909	13120	12457	12263	12188	15518	13984	12918	12608	12615	12735	12608	12148	11755	13149	13069	13953	12680	17160	13301	12606	12779	12615	12500	12115	12374	12702	12501	13252	14370	20914	14324	13743	12179	11958	12103	12401	12080	12121	12631	12942	12273	19467	13370	12617	13102	14677	14335	16005	15708	16736	15969	15230	13285	27435	14036	12584	15649	22053	21316	20997	25370	23026	24587	24514	25841	27659
