Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.822500	84560	105837	52394	56189	41881	72513	17348	17335	17487	16606	15217	16552	16972	17049	17471	18862	18607	17386	19804	20443	18502	20685	20685	24002	22583	23185	22634	23744	23042	23965	36565	36124	36828	35848	35563	37382	71737	71629	73181	72170	77375	74997	18018	20023	17655	16777	16030	22743	15988	17172	16926	17921	16786	17367	17341	16863	16657	18155	16760	15789	17876	18019	16814	17288	19076	17408	19436	19645	19988	19764	19227	19526	25940	26171	26185	26786	26683	29567	53614	60804	54667	54419	52606	54036
0.861667	98188	120183	63781	64982	52167	82952	17248	16822	17251	16678	15104	17177	16784	16833	16824	18393	18295	17701	19955	24269	18163	20770	20742	23466	22192	22647	22702	22985	23467	23488	35782	35469	36334	35820	35016	36456	71833	71903	72293	72781	77783	74819	18872	21318	17210	16995	16027	25288	16173	16924	16594	17736	16562	17211	17560	16908	17037	16965	16045	15720	17744	17294	16982	17167	18826	17562	19030	19499	19550	19657	19047	19648	25297	26056	26143	26370	26664	29497	52867	60979	53854	53306	52423	54233
0.900833	111458	129192	75192	74876	62280	93101	17303	17259	17607	16519	15645	17203	16684	16313	16800	18622	18398	17675	19694	19543	18364	20347	21151	23413	22322	22275	22195	23045	22711	22977	35955	36191	35823	36127	34137	36354	71519	71903	72860	72115	77674	74095	19204	22435	17380	17220	15892	28253	15875	16778	17025	17301	16634	17204	17060	16735	16968	17121	16093	15899	17122	17476	16589	17209	18565	17168	19012	20039	19171	19310	18755	19340	25127	25410	25762	26395	26288	29454	53515	61165	54209	53583	52417	53458
0.940000	122491	136706	87706	83407	72608	107771	17568	17529	17581	16587	15230	17495	16459	17150	17095	17464	17528	18006	19384	19376	17949	20731	21317	23478	22264	22375	22233	22702	22568	22782	35811	36688	36098	35342	34815	36082	70919	71919	72454	72554	76998	74071	20564	24163	17243	17616	15832	31090	15540	17062	16832	17291	16500	17203	17029	16748	16658	17685	15926	15423	16983	17604	16257	16717	18346	17027	18983	19531	19183	19578	18774	19089	25208	25327	26298	26471	26218	29366	53222	61529	54256	54942	52880	53458
0.979167	131779	145398	98213	93547	81872	115974	17346	17033	17419	17126	14962	16868	16076	16678	16747	18168	17449	17777	19344	19867	17996	20060	21215	23394	21878	22351	22179	22855	22856	23021	35545	35068	35830	35614	34385	36060	70624	71025	72770	71900	77501	73615	22954	25670	17201	17997	15609	35060	15816	16389	16165	16902	16402	17383	16829	16330	16750	16899	15451	15370	17177	17367	16488	17194	18397	17002	18570	19189	19032	19054	18804	19755	25408	25632	25389	26792	25767	28896	52304	60245	54204	53485	52667	53557
1.018333	139935	151465	108775	102033	93925	122268	17298	16882	17103	16225	15119	17175	15925	16716	16649	17565	17298	17424	19362	19124	18263	20415	21932	22422	21863	22394	22459	22222	22632	22498	35488	35534	35567	35841	34998	35343	70423	71809	73274	72279	76738	74123	26246	27321	17417	18906	15850	38642	15799	16540	16162	16710	16305	16979	16985	16421	16389	17065	15564	15430	16687	17365	16592	17028	18613	17072	19042	19174	18867	19100	18644	19048	25190	25589	26099	26266	25979	28744	52781	61018	53410	53598	52502	52962
1.057500	146510	153854	116137	110793	101643	129657	17241	16825	17413	16975	14983	16989	16140	16304	16870	17565	16969	17004	19057	18977	18085	20013	21167	23014	21862	22052	22033	22739	22255	22811	35310	35765	35382	35179	34383	35372	71570	71003	72297	73021	76628	74127	30283	30271	17583	19822	16125	43851	15286	16336	15859	17055	15894	16609	16972	16157	16431	17699	15546	15570	16952	17127	16141	16488	18164	16769	18662	19386	18989	19311	18550	18784	25090	25439	25536	26038	26086	29102	52415	60347	53622	53440	51848	53807
1.096667	150972	153851	124058	116777	110526	136200	17880	16709	16991	16800	14893	16938	16195	16473	16569	17727	16886	17121	18442	18833	17887	20136	20310	22594	21810	22102	22054	22204	22174	22333	34928	35631	35581	35568	33874	36153	70764	71491	72442	71907	76907	74281	34706	33701	18054	21130	16166	49145	15782	16627	16378	16997	15988	16369	16316	16163	16210	16642	15802	15540	17071	17276	16526	16543	18094	16511	18752	18813	18767	19041	18601	18744	24284	25380	25419	25767	26029	29073	51783	60202	53232	53368	52301	53257
1.135833	154574	154942	130637	124301	118099	140143	17166	17407	17141	16950	15287	17322	16148	16215	16828	17239	16688	17010	18618	18776	17876	19643	20275	22621	21950	22123	22360	22166	22072	22485	35238	35947	35236	35669	34440	35788	69618	72048	71895	70805	76729	74367	38971	34902	18225	23071	16451	53604	15138	16635	15599	16689	15762	16484	15909	15604	15980	16334	15560	15362	16708	17251	16041	16794	17658	17262	18750	18807	18830	19405	18474	18734	25283	25398	25408	25907	25524	29010	51947	60675	54241	53773	51237	54166
1.175000	158275	155731	136149	125605	121234	141675	17614	17777	17326	16739	14908	16808	16088	16026	16086	17716	16803	16950	18389	18957	17539	19439	19306	22627	21695	21695	22282	22443	22240	22773	35015	35481	34721	34680	34060	36108	69871	71008	72215	72842	76758	74491	43117	38078	18677	25230	17076	57278	15444	16656	16134	16885	15731	16604	16196	16325	16500	16225	15319	15573	16973	17520	16356	16381	17795	16710	19239	18685	18573	18663	18547	18488	24497	25284	25637	25843	25284	28564	53807	59903	53839	53885	51861	53848
