Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.414167	16688	16108	16208	17316	16703	18174	16242	16329	16052	16184	16895	16421	15683	16241	15641	16441	16268	15786	16237	16124	15962	16023	16507	16104	15461	16773	16000	16133	16348	16516	16524	16479	16013	16459	16072	16004	16239	16452	16530	16476	16475	16854	17218	17023	17452	17117	16546	16431	16757	17675	18929	18271	18051	18456	21314	21351	21370	21150	21163	21073	25444	25807	25755	25417	25874	25600	37751	37277	38523	38818	40337	38531	64941	67556	63724	67777	64644	62327	16331	17100	15142	15790	15090	15281
0.433889	16737	16258	16185	17385	16192	17651	16198	16601	16301	16252	16852	16276	15539	16488	15955	16400	16549	16465	16444	16392	16246	16264	16487	16613	15489	17388	16436	16295	16691	16527	16832	16786	16097	16333	15913	16060	15847	16530	16544	16409	16443	16896	17110	17162	17117	17002	17219	16155	17276	18253	17995	17950	17819	18279	21023	21466	21294	21391	20767	21004	25551	25825	26013	25780	26350	25623	38402	38307	38736	38928	40305	38543	64677	69259	63907	67362	64826	62957	16313	17678	15307	15918	14870	15127
0.453611	16894	16590	16446	17816	16554	17770	16247	16605	16498	16508	17265	16540	15737	16392	16259	16173	16490	16555	16939	16302	16360	16247	16545	16605	15279	17549	16692	16594	16796	16604	17099	16862	16221	16385	16285	16656	15679	16637	17113	16300	16782	16789	17567	17413	17200	17088	17449	16524	17016	18176	18344	18413	18234	18885	21231	21155	21149	21721	21224	20933	25469	26059	25814	26006	26423	26684	38769	38163	39632	38529	41325	38762	65976	67904	64305	68328	65772	63999	16195	17489	15770	15693	15324	15258
0.473333	16646	16773	16699	17102	16628	18344	16332	16616	16838	16371	17330	17285	15382	16957	16272	16278	16420	16432	16514	16125	16667	16431	16600	16496	15400	17716	16434	16413	16929	16867	17039	16895	16762	16704	16738	16400	15663	16757	17106	16989	16693	16833	17553	17541	17589	17199	17281	16971	16832	18485	18636	17986	18540	19033	20999	21419	21223	22051	21351	21442	25568	26540	25925	26591	26284	26071	39071	38505	39010	39738	42247	39991	65611	69523	64455	68685	65963	63734	16459	17679	15785	16322	15619	15645
0.493056	16364	16830	16669	17961	16633	18436	16570	17025	17164	16790	17076	17062	15782	16762	16755	16571	17047	16700	16734	16831	16538	16728	16728	16720	15730	17570	16422	16693	17070	16670	16774	16871	16871	17117	16610	16948	15693	17304	17374	17104	16775	17476	17423	17634	17375	17279	17249	16638	17180	18675	18527	18667	18416	18799	21364	21610	21271	21790	21380	21764	25853	27068	26470	26176	26417	27130	39073	39046	39784	39858	42101	39880	67708	69205	64521	69581	66456	64462	16611	18549	15287	16575	15582	15473
0.512778	16554	17084	16923	18006	16781	18248	16995	16891	16950	16984	17749	17175	15459	16979	16875	17021	16885	17022	16887	16650	16687	17022	16833	16752	15752	18353	16962	17334	17042	16956	16960	17513	16785	16980	16558	16943	15830	17130	17733	16769	16991	17312	17891	17668	17696	17512	18018	16423	16922	18748	18738	18822	18915	19166	22247	21741	22221	21874	21933	22086	26368	27299	26661	26528	26715	26368	39343	39166	40170	39689	42588	39960	66813	69645	64863	69424	67326	64476	16935	18786	15674	16414	15825	15331
0.532500	16460	17256	16905	18133	16632	18985	17209	17280	17055	17147	17562	17148	15346	16984	17062	17045	17252	16851	16701	16827	16905	16553	17009	16782	15535	18056	16795	17016	16953	17152	17341	17232	17115	17053	16813	17107	15682	17795	17851	17209	17278	17318	17929	17521	17737	17661	17630	16793	17028	18868	19505	18706	18872	19038	22342	21834	21888	22261	21879	21964	25678	27357	27009	26892	26924	26899	39699	39514	40489	40128	42646	40353	66769	70068	65205	69871	67861	64869	17103	18487	16422	16762	15867	15952
0.552222	16438	17170	17307	18458	17312	18623	17061	17408	17367	17592	17915	17256	15129	17383	16947	17360	17208	16578	17409	17200	17203	17174	17222	17733	15615	18443	17286	17377	17549	17310	17396	17725	16888	17157	16729	17337	15805	17639	18052	17779	17318	17933	17961	17957	17905	17687	17830	16645	16804	19191	19190	18897	19111	19400	22205	22037	22468	21992	22247	22365	25938	27237	27123	27518	27323	27479	40459	39343	40427	40454	43107	40314	67226	70167	65998	70668	67904	65185	16799	19328	15655	16653	16161	15998
0.571944	16235	17259	17329	18667	17320	18979	17350	17521	17195	17754	17677	17313	15643	17446	17101	17335	17432	17577	17638	17358	17347	17541	17608	17005	15759	18510	17737	17509	17640	17665	17542	17778	17195	17154	17558	16762	15586	17646	18304	17339	17617	17630	17821	18245	17939	17526	18259	16943	16874	19015	19522	19308	19189	19180	22649	22152	22553	22598	21959	22185	25934	27454	26957	26983	27272	27046	39986	39979	41023	40706	43496	40607	68207	71478	66116	69648	68466	65263	17075	18847	16195	16552	16034	16152
0.591667	15611	17371	17723	18543	17055	19091	17232	17924	17340	17520	17755	17635	15748	17762	17293	17365	17717	17392	17455	17685	17305	17495	17369	17111	15580	18216	17819	17743	17830	17562	17945	17936	17444	17429	17183	16806	15618	17998	17943	17817	17681	18335	18308	18131	18118	17726	18429	16723	16807	19388	19404	19367	19196	19368	22453	22356	22498	22660	22322	22167	25606	27130	27170	27451	27818	27650	40604	40313	41045	40768	43962	40613	68775	70848	66179	71189	68124	65483	16865	19641	16078	16487	15950	15773
