Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
2.261111	10830	11846	11976	15432	14616	17583	16855	15269	16113	14423	8814	9730	10747	12214	15155	13157	17129	17774	16703	16098	14998	9401	10920	11251	12994	15431	16159	16180	16633	16373	15636	14248	8446	9947	11179	12626	14598	11735	14617	17308	14326	17290	15501	8235	9640	10494	12884	14185	14628	16327	14865	16682	15129	14277	8188
2.312500	10926	12230	12007	15765	14528	17282	17554	15302	16177	13910	8872	9606	10812	12230	15111	12761	16964	17168	17167	16912	15408	9595	10724	11372	12762	15264	16745	16305	16647	16652	15231	13715	8741	9814	11538	12575	15084	11774	14233	17299	14502	16114	15201	8312	9584	10541	12875	14221	14497	15756	14531	16237	14779	14604	8117
2.363889	10928	12035	11913	15809	14391	17660	16582	14940	15962	13721	8837	9381	10808	12194	15035	12652	17272	17151	16866	16208	15284	9503	11049	11407	12638	15397	16994	16231	16663	16702	15237	14102	8563	9932	11441	12969	15065	11972	14736	16804	14494	16738	15309	8240	9750	10259	12697	14417	14110	16184	14858	16658	14753	14978	8147
2.415278	10784	12072	12469	15583	13813	18040	16723	15262	16369	13789	8995	9554	10464	12059	15712	13110	16998	17134	16388	16625	15827	9599	10972	11363	12730	15362	17129	16247	16804	17038	15258	14019	8534	9917	11389	12679	15102	12459	14436	17292	14361	16667	15517	8248	9692	10406	13045	14404	14444	16378	15112	16890	15186	14956	8017
2.466667	10954	12123	12128	15183	14646	17745	17290	14551	16379	14166	8806	9696	10629	12063	15468	13187	17049	17433	16746	16747	15607	9578	10690	11335	12908	15731	17312	15753	16875	16537	16408	14048	8609	10021	11520	12872	15109	11701	15259	17931	14731	16265	15394	8459	9500	10492	12969	13948	14411	16695	15086	16445	15465	15055	8101
2.518056	10953	12004	11989	15538	14714	17556	17554	14713	16519	13682	9070	9680	10666	12368	15355	13092	16956	17289	16372	15631	15328	9709	10966	11353	12992	15467	17229	16352	16856	16536	14758	13655	8673	9945	11660	13186	15208	11735	14706	17479	14661	16035	15291	8494	9672	10564	12848	14471	14959	16172	15289	16725	15693	14427	8207
2.569444	10714	12085	11889	15774	14048	17362	17684	14694	16055	13790	8849	9339	10585	12273	15752	12632	16980	17449	16693	16926	16489	9820	10760	11192	12950	15244	16397	17257	16430	16549	15217	14425	8624	9917	11404	12793	15241	11682	14834	17480	14348	16786	15086	8451	9483	10567	13177	14597	14702	16151	15625	16818	15200	14415	8132
2.620833	11046	12254	11972	15765	14752	17723	17708	14977	16290	13955	8798	9464	10650	12769	15434	13145	17443	17858	16287	17285	15563	9684	10904	11305	13058	15312	16447	17337	16687	16309	15328	15042	8606	9849	11315	12824	15431	11687	14315	17670	14669	17028	14985	8422	9503	10633	13236	14621	14632	16578	14972	16530	15419	14862	8153
2.672222	10877	12282	12293	16203	14444	18144	17801	14516	16048	13899	8870	9459	10604	11949	15335	12695	16655	17793	16565	17456	16076	9633	10921	11215	13009	15466	16634	17156	17053	15730	15589	14548	8810	9861	11559	12928	15223	11915	14900	17179	14929	16327	15174	8401	9604	10431	13018	14377	14696	15769	14819	16844	15002	14766	8341
2.723611	10865	12098	12293	16050	14292	17663	17149	15073	15896	13844	8926	9531	10721	12244	14991	12407	17121	17976	16541	16060	15463	9662	10882	11344	12895	15113	16511	17159	16521	16122	16123	14680	8709	10020	11803	13030	15306	12431	14932	17473	14491	16592	15209	8389	9713	10528	12835	14657	15036	16496	15270	16852	15054	14865	8193
2.775000	10873	12075	12316	16266	14295	17360	17384	15029	16115	13921	9019	9383	10799	12567	15432	13309	17557	17486	16391	17059	16113	9733	10673	11465	12743	15528	16742	17251	16754	17616	15657	14699	8768	9815	11481	12863	15114	12700	15012	17512	15068	16720	15385	8113	9623	10650	12746	14751	15068	15927	15636	16714	15595	15268	8111
2.826389	10901	11942	12089	16232	14479	17933	18055	15133	16077	14142	9194	9610	10795	12238	15568	13354	17630	17814	16508	17614	16181	9625	10846	11222	13228	15279	16891	17203	16882	17210	15803	14742	8846	9957	11606	12794	15293	12235	15111	18107	14917	16171	15051	8360	9728	10561	12968	14716	15030	16353	15593	16875	15492	15439	8298
2.877778	10868	11950	12299	16596	14575	18042	17649	14403	16373	13970	9050	9531	10731	12594	15961	12673	16983	17557	17094	16690	15956	9829	11055	11338	13187	15809	17331	17529	17403	17058	15953	14258	8823	9703	11442	13019	15084	11878	15762	17662	14920	17323	14845	8086	9638	10606	12919	14642	14831	16539	15939	17041	15291	14261	8363
2.929167	10905	12241	12383	16344	14575	18058	17924	15401	16070	13886	9105	9573	10773	12603	15784	13181	17378	18086	16278	17024	15954	9920	10745	11504	12984	15512	17115	17360	17233	16947	15944	14988	8927	9913	11570	12827	15058	12087	14565	17603	15016	16827	14708	8427	9732	10597	13115	14928	14481	16584	15478	17050	15185	15003	8256
2.980556	10904	12135	12139	16269	14802	17660	17630	15017	15906	13809	9030	9410	10736	12656	15846	12886	17026	17621	17153	16879	15410	9956	10804	11336	12899	15262	16871	17123	16765	16709	16365	14575	8983	9857	11317	13160	14927	11888	14403	17423	14967	17279	14634	8277	9656	10587	12962	14964	14351	16870	14760	17022	15397	14655	8239
3.031944	10857	12131	12491	15433	14778	17982	17435	14556	16165	13926	9114	9500	10909	12665	15519	12742	17188	17622	16833	17407	16331	9972	10920	11452	12914	15448	16796	17541	17837	16838	16126	13977	8717	9962	11358	13111	15322	12210	14044	17869	14927	17290	14876	8476	9478	10583	13093	15098	14618	16023	14691	16943	15415	14988	8329
3.083333	11008	12269	12000	16079	14529	18849	17776	15333	15635	13760	8952	9305	10833	12590	15538	12615	17565	17888	16362	17041	16235	9980	10681	11401	13148	15624	16678	17610	17230	17699	16152	14673	8845	9946	11750	13039	15294	11580	14853	17836	15271	17648	14498	8671	9627	10440	12959	14703	14701	16761	15651	17147	15689	14730	8432
3.134722	10870	12103	12061	16294	15177	18615	17979	14408	15687	13826	9167	9633	10713	12877	15451	12502	17379	18598	17307	15588	15823	9912	10762	11495	13191	15821	17153	17785	16627	16917	15073	14685	8699	9997	11423	13084	15130	12231	15440	18243	15198	16790	14870	8418	9837	10399	13046	14496	14920	16207	15041	16944	15658	14542	8243
3.186111	10874	12441	12186	15838	14861	18596	18127	14487	15844	13987	9230	9529	10834	12827	15436	13334	17789	17628	17120	17139	16702	10176	10831	11540	13210	15685	17670	17674	16731	16659	16196	14541	9307	9945	11697	13315	14707	12409	15532	18094	15167	16574	14881	8662	9535	10847	13159	14267	14581	16488	16908	17042	15885	14653	8388
3.237500	11023	12596	12421	16028	15057	18244	18206	15270	15814	13913	9000	9660	10946	12637	15378	12940	17547	18075	16941	17675	16481	9794	10769	11297	13208	15601	16521	17335	17189	17091	16175	14517	9048	9989	11740	13028	14857	11887	15385	17527	14985	17853	14815	8523	9676	10588	13078	14319	14499	15929	14834	17201	15466	14079	8432
3.288889	10864	12536	12245	16249	14354	17479	17542	14987	16487	14232	9142	9524	11127	12748	15463	12794	17618	17729	16747	17080	16653	10027	11049	11497	13288	15783	16449	17735	16855	17039	16515	13995	9066	9887	11526	13265	14536	12668	16176	18186	14957	17377	14863	8493	9768	10735	12981	14264	14805	16298	15567	16695	15276	15333	8634
3.340278	10943	12238	12327	16111	14399	17307	18317	14766	16759	14094	9191	9348	10782	12621	15830	12907	16937	17934	17145	17263	16212	10111	10926	11432	13166	15668	16915	17707	17581	17191	15902	13910	9058	9921	11627	13236	14878	12018	15740	17879	15333	17874	15087	8721	9689	10550	13064	14216	15006	16533	14812	16668	15955	15143	8470
3.391667	10836	12159	12404	16103	14855	18212	18139	14761	16732	14085	9222	9460	11097	12826	16036	13139	17568	18106	17249	17919	15287	10065	10905	11344	13070	15782	17030	18235	17494	17241	14785	14692	8792	10100	11785	13199	14880	11982	15732	17897	15412	17427	14852	8712	9588	10555	13097	14486	14534	16234	16342	16981	15440	14630	8423
3.443056	10822	12317	12389	16488	15329	18139	18463	14833	16770	13936	9176	9536	11028	12959	15717	13568	17308	18345	17567	17259	16895	10183	10972	11370	13154	15859	17719	17753	17145	17542	15584	14594	9020	10100	11646	13015	14716	11803	15452	17989	15690	16700	15017	8711	9652	10539	13053	14487	14070	16549	16446	16996	15783	15315	8492
3.494444	10692	12475	12363	16357	15025	18530	18406	14950	17031	14033	9258	9644	10883	13078	16158	12851	17303	18184	17094	17571	16568	10109	10919	11423	13185	16021	17347	17905	17310	17994	14935	14423	9062	10174	11666	13388	14825	11729	15493	18104	15311	17350	14644	8882	9730	10273	12989	14363	14533	17092	15844	17231	15643	14757	8485
3.545833	10796	12399	12348	16089	15011	18020	18366	14939	16350	13953	9465	9562	11001	12785	15544	12820	17507	17941	17073	17183	15733	10175	10868	11348	13040	15594	16627	17993	16795	17638	16284	14440	8958	10211	11375	13240	14859	12182	15635	17423	15070	17475	15032	8878	9574	10476	12961	14133	14504	16049	15484	17415	15238	14460	8492
3.597222	10900	12438	12484	16135	14529	18418	17519	14595	16099	14358	9171	9602	10926	12873	15539	12759	17713	18729	17493	17884	15759	10404	10968	11417	12863	16157	16816	18079	17392	18161	16528	14766	8838	9829	11630	13226	14683	11929	15488	18065	14976	16838	15013	8860	9760	10366	13204	14062	14347	16424	15640	17652	15671	15008	8662
3.648611	10884	12555	12572	16579	15171	18011	18459	14379	16951	14312	9149	9691	10848	13001	15860	13001	17523	17758	17252	17425	16074	10182	10848	11463	13115	15939	17177	17658	17015	18699	16858	14339	9147	10040	11483	13271	15059	12226	15408	17959	15363	17938	15009	8731	9829	10606	13232	14558	14822	16972	15348	17503	15259	15090	8383
3.700000	10959	12515	12425	16548	15206	18370	17674	14570	16545	14043	9338	9425	11200	12853	15885	12968	17423	18010	17499	17239	16575	9998	10851	11404	13440	16039	17412	17950	17119	17859	16055	14543	8975	10157	11711	13342	15201	12082	15510	18269	15442	17805	15128	8623	9707	10595	13086	14860	14996	16931	15610	17595	15385	15304	8634
3.751389	10903	12361	12548	16339	15312	18310	17919	14506	16684	14231	9175	9276	10929	12837	15829	12321	17811	18260	16977	17193	15195	10291	10724	11380	13097	15846	17612	17933	17497	17773	15825	14703	9272	10128	11695	13320	15008	12081	15762	17860	15639	17267	15261	8980	9625	10623	13119	14696	15193	17014	15409	17613	15563	15685	8649
3.802778	10613	12444	12662	15975	14708	18168	18302	14159	16449	14130	9366	9391	10774	13115	15652	12854	17706	18282	16550	17184	15991	10279	10670	11494	13156	15918	17129	18057	17264	17739	16408	14369	9359	10287	11725	13067	14881	12127	16081	18137	15213	17414	15083	9187	9647	10397	13155	14395	15013	16885	15263	17711	15633	15579	8708
3.854167	10797	12668	12468	16388	14527	18301	17830	14488	16480	14272	9312	9412	11182	13060	15080	12565	17761	17927	16316	16412	15961	10206	11068	11632	12930	15823	16239	18280	17135	18066	16262	14199	8964	10174	11727	13065	14816	11751	14584	17961	15386	16829	14345	9110	9834	10497	12901	14303	14987	16497	14942	17353	15471	15329	8676
3.905556	10784	12287	12508	15788	14685	18498	17936	14842	16670	14329	9265	9456	11337	13128	14697	13464	17698	17094	17236	17568	15917	10315	10837	11409	13178	15866	16642	18276	16951	17943	16415	14452	9117	10212	11513	13134	14768	11870	15329	17738	15642	17506	15346	8875	9588	10723	13018	14525	14973	16327	15335	17740	15479	15512	8638
3.956944	10869	12446	12405	16343	14607	18304	17792	14890	17006	14355	9259	9510	11132	13440	15155	12844	17434	17284	16892	16602	16297	10368	10918	11433	13100	15898	17006	18360	17608	18467	15657	15043	8904	10059	11656	13368	15031	12272	15558	17894	15359	16847	16244	8999	9809	10725	13058	14984	14930	16462	15652	17613	15516	15680	8459
4.008333	10887	12502	12536	16343	15246	18220	18618	15220	16897	14487	9221	9415	11169	13068	15135	12740	17969	18251	17132	17241	16629	10149	10754	11444	13111	15966	17121	18098	17496	17653	15351	14765	8977	10113	11670	13075	15395	11930	15159	18074	15447	17654	15572	8821	9722	10613	13053	15049	15000	16926	15036	17712	16038	15256	8576
